Monit_MAP_CODE1,Year,pct_garage_yes,homestead_y_count,homestead_n_count,GREEN_ACRE_y_count,GREEN_ACRE_n_count
10012100-01,2013,52.21445221445221,361,68,25,404
82007700-01,2013,100.0,178,24,24,178
19034800-01,2013,NaN,6312,1206,21,7497
82012200-01,2013,100.0,530,166,20,676
82036800-01,2013,100.0,438,138,20,556
82009400-01,2013,100.0,10434,2531,18,12947
82013700-01,2013,99.34959349593497,1174,245,18,1405
82012300-01,2013,100.0,282,50,14,318
82010400-01,2013,100.0,592,90,12,670
10000200-01,2013,94.73684210526315,2342,993,8,3359
70002600-01,2013,NaN,1817,354,6,2165
82010100-01,2013,100.0,200,78,6,272
82015900-01,2013,100.0,2502,1704,4,4202
82003400-01,2013,100.0,12,14,4,22
82002000-01,2013,100.0,3948,1692,2,5638
82008900-01,2013,100.0,2316,802,2,3116
19044600-01,2013,NaN,4691,482,2,5171
82009200-01,2013,100.0,940,306,0,1246
19002200-01,2013,NaN,7055,613,0,7668
19003300-01,2013,NaN,3640,857,0,4497
82011602-01,2013,100.0,5028,1563,0,6591
02000500-01,2013,70.49009384775809,1934,943,0,0
82010300-01,2013,100.0,1604,228,0,1832
27007000-01,2013,100.0,3807,625,0,4432
10001100-01,2013,88.20445609436435,651,112,0,763
27003501-01,2013,100.0,4206,913,0,5123
19002700-01,2013,NaN,1588,269,0,1857
27005300-01,2013,100.0,8488,1911,0,10399
19002400-01,2013,NaN,2048,548,0,2596
19002300-01,2013,NaN,6047,765,0,6812
82009002-01,2013,100.0,5924,1494,0,7418
19002900-01,2013,NaN,914,354,0,1268
27062700-01,2013,100.0,11268,1905,0,13173
27071100-01,2013,100.0,6177,1750,0,7939
19002500-01,2013,NaN,2137,241,0,2378
27004201-01,2013,100.0,7511,1896,0,9449
19002100-01,2013,NaN,4696,753,0,5449
19002601-01,2014,NaN,9701,3341,289,12753
82008700-01,2014,100.0,10162,2803,181,12784
10005200-01,2014,72.48592115848753,854,389,60,1178
82009700-01,2014,100.0,8732,2826,54,11504
82005400-01,2014,100.0,312,102,52,362
10009500-01,2014,56.955810147299516,377,234,40,571
82015300-01,2014,100.0,610,100,34,676
19003100-01,2014,NaN,1916,693,34,2575
82033400-01,2014,100.0,146,28,26,148
10012100-01,2014,52.32558139534884,360,70,25,401
10001900-01,2014,78.34714895754836,2661,1320,25,3910
82007700-01,2014,100.0,180,22,24,178
82009400-01,2014,100.0,10592,2631,20,13203
82012200-01,2014,100.0,528,164,20,672
82036800-01,2014,100.0,442,134,18,558
82013700-01,2014,99.35064935064936,1180,237,18,1403
82012300-01,2014,100.0,288,44,14,318
19034800-01,2014,NaN,6237,1287,14,7510
82010400-01,2014,100.0,590,92,12,670
10000200-01,2014,94.18604651162791,2341,1031,8,3364
70002600-01,2014,NaN,1817,390,6,2201
82010100-01,2014,100.0,198,80,6,272
82015900-01,2014,100.0,2477,1720,4,4193
82003400-01,2014,100.0,12,14,4,22
82002000-01,2014,100.0,3958,1696,2,5652
19044600-01,2014,NaN,4706,467,2,5171
82008900-01,2014,100.0,2282,836,2,3116
10001100-01,2014,89.54248366013073,647,118,0,761
82011602-01,2014,100.0,4980,1613,0,6593
19002900-01,2014,NaN,905,363,0,1268
19002400-01,2014,NaN,2026,578,0,2604
02000500-01,2014,70.07955724662747,1922,969,0,0
27062700-01,2014,98.92752119010552,11186,1987,0,13175
82009002-01,2014,100.0,5888,1518,0,7406
27003501-01,2014,91.23152709359606,4212,909,0,5127
82010300-01,2014,100.0,1580,224,0,1804
27071100-01,2014,94.51754385964912,6156,1784,0,7960
19003300-01,2014,NaN,3611,884,0,4495
27007000-01,2014,100.0,3745,687,0,4432
27004201-01,2014,99.27614911328266,7483,1966,0,9467
19002200-01,2014,NaN,7012,657,0,7669
19002500-01,2014,NaN,2125,253,0,2378
19002300-01,2014,NaN,6075,728,0,6803
19002100-01,2014,NaN,4691,758,0,5449
82009200-01,2014,100.0,936,306,0,1242
19002700-01,2014,NaN,1580,277,0,1857
27005300-01,2014,99.54151808456444,8443,1956,0,10405
19002601-01,2015,NaN,9871,3881,398,13354
82008700-01,2015,100.0,10151,2636,174,12613
10005200-01,2015,70.83936324167873,928,454,60,1167
82009700-01,2015,100.0,8705,2874,60,11519
82005400-01,2015,100.0,284,94,46,332
10009500-01,2015,58.211382113821145,383,232,40,569
82015300-01,2015,100.0,606,94,34,666
19003100-01,2015,NaN,1925,702,34,2593
10012100-01,2015,52.77777777777778,361,71,25,398
10001900-01,2015,81.73366834170854,2855,1125,25,3905
82007700-01,2015,100.0,172,21,21,172
82012200-01,2015,100.0,526,155,20,661
82009400-01,2015,100.0,10812,2547,20,13339
82033400-01,2015,100.0,133,29,16,146
82036800-01,2015,100.0,438,129,16,551
82013700-01,2015,99.38837920489296,1170,311,14,1469
82012300-01,2015,100.0,285,44,14,315
19034800-01,2015,NaN,6125,1730,12,7843
82010400-01,2015,100.0,590,84,9,665
10000200-01,2015,90.47619047619048,2345,1010,8,3347
70002600-01,2015,NaN,1825,382,6,2201
82010100-01,2015,100.0,186,78,6,258
82015900-01,2015,100.0,2426,1723,4,4145
82003400-01,2015,100.0,12,14,4,22
82008900-01,2015,100.0,2298,906,3,3201
19044600-01,2015,NaN,4689,484,2,5171
82002000-01,2015,100.0,3941,1647,2,5586
19003300-01,2015,NaN,3584,917,0,4501
19002900-01,2015,NaN,895,373,0,1268
19002400-01,2015,NaN,2032,572,0,2604
82011602-01,2015,100.0,4988,1590,0,6578
02000500-01,2015,69.22279792746114,1924,997,0,0
82010300-01,2015,100.0,1563,255,0,1818
27071100-01,2015,92.94436906377204,6108,1842,0,7980
27007000-01,2015,99.1638795986622,3683,749,0,4432
82009002-01,2015,100.0,5900,1539,0,7439
19002700-01,2015,NaN,1558,295,0,1853
27003501-01,2015,91.79580674567,4216,919,0,5152
27005300-01,2015,94.81003228209586,8389,2014,0,10403
27004201-01,2015,95.4253705216478,7467,1959,0,9428
19002200-01,2015,NaN,7001,668,0,7669
10001100-01,2015,90.06535947712419,653,112,0,761
19002100-01,2015,NaN,4678,771,0,5449
19002500-01,2015,NaN,2119,259,0,2378
82009200-01,2015,100.0,950,289,0,1239
27062700-01,2015,98.63436839538286,11126,2057,0,13185
19002300-01,2015,NaN,6014,794,0,6808
